95,49
260,16
401,25
476,31
762,40
847,45
937,29
68,110
149,107
351,95
402,94
443,88
530,95
616,70
689,62
779,96
927,121
37,138
104,149
188,126
276,156
412,167
476,130
584,128
632,138
694,95
700,129
738,120
847,139
987,147
58,170
154,188
233,173
358,185
431,206
459,205
503,165
608,171
657,160
725,186
752,174
933,185
14,207
114,225
187,235
239,221
301,200
377,235
484,240
538,210
631,203
686,196
734,224
766,211
856,212
968,227
59,253
139,253
161,274
203,267
261,278
298,270
382,298
434,288
477,279
506,273
576,256
650,254
703,240
767,259
846,257
914,257
46,285
80,319
125,306
187,300
217,334
275,324
310,318
396,336
467,347
494,331
556,311
616,279
648,293
715,310
777,315
801,327
842,314
887,309
958,298
24,350
28,377
89,360
121,354
261,384
293,375
331,361
377,360
446,376
507,354
597,325
651,319
712,340
869,351
925,364
976,368
855,416
312,430
372,389
388,412
406,399
470,412
527,392
589,367
713,407
791,433
713,456
951,457
24,511
59,510
111,506
232,493
301,474
425,441
555,416
635,439
756,573
788,462
409,481
443,464
524,446
601,502
668,477
816,486
933,529
204,535
328,513
405,516
524,499
630,514
713,525
783,518
37,601
72,596
119,591
161,578
203,571
250,564
295,549
315,571
350,536
373,567
455,543
478,588
534,586
578,588
654,558
665,659
808,582
886,579
977,578
115,612
162,611
262,626
353,602
430,614
461,636
532,629
577,620
870,733
729,631
836,656
921,627
965,660
16,660
65,650
138,640
222,655
275,664
325,650
347,659
402,631
503,668
557,703
616,693
691,697
792,686
63,715
108,745
175,696
180,755
313,696
328,714
367,712
428,679
440,718
655,753
805,766
